,year,neighbourhood,single_detached_house,apartment_five_storeys_plus,movable_dwelling,semi_detached_house,row_house,duplex,apartment_five_storeys_less,other_house,average_house_value,shelter_costs_owned,shelter_costs_rented
0,2001,Bridle Path-Sunnybrook-York Mills,2275,110,0,25,15,10,20,0,927466,1983,1790
1,2001,Forest Hill South,1815,2440,5,65,45,85,1010,15,726664,1001,1469
2,2001,Lawrence Park South,3590,570,0,170,70,190,845,40,664712,1021,1630
3,2001,Rosedale-Moore Park,2610,3880,0,520,225,290,1735,0,664476,1219,1540
4,2001,St.Andrew-Windfields,3275,1455,0,220,555,45,525,5,607040,1055,1551
5,2001,Casa Loma,1035,1700,0,415,190,185,1090,5,596077,1241,1500
6,2001,Bedford Park-Nortown,4985,2080,0,45,40,210,1235,15,565304,933,1491
7,2001,Forest Hill North,1565,3380,0,10,0,0,485,5,517466,940,1428
8,2001,Kingsway South,2370,260,0,65,45,0,340,10,512334,1362,1340
9,2001,Yonge-St.Clair,670,3625,0,410,200,280,1020,25,494098,1091,1351
10,2006,Bridle Path-Sunnybrook-York Mills,2205,145,0,35,15,30,10,0,1356757,2170,2167
11,2006,Forest Hill South,1740,1835,0,50,50,70,1015,0,1063011,1781,1094
12,2006,Lawrence Park South,3415,745,0,110,25,250,1025,10,972384,1977,1116
13,2006,Rosedale-Moore Park,2450,4790,0,445,245,330,1685,5,972039,1868,1332
14,2006,St.Andrew-Windfields,3095,1740,0,165,560,105,645,0,888017,1881,1152
15,2006,Casa Loma,875,2230,0,230,195,170,1240,5,871981,1819,1356
16,2006,Bedford Park-Nortown,4785,1890,0,45,60,290,1285,110,826963,1808,1020
17,2006,Forest Hill North,1450,3410,0,10,10,115,375,0,756983,1731,1027
18,2006,Kingsway South,2275,560,0,60,50,25,335,0,749476,1625,1488
19,2006,Yonge-St.Clair,540,3785,0,390,210,145,1465,0,722799,1638,1192
20,2011,Bridle Path-Sunnybrook-York Mills,2285,480,0,45,100,30,50,0,1697067,2387,2388
21,2011,Forest Hill South,1730,1825,0,65,45,75,1035,0,1329642,1959,1206
22,2011,Lawrence Park South,3465,855,0,115,25,230,980,10,1216283,2174,1230
23,2011,Rosedale-Moore Park,2485,4905,0,495,250,345,1550,0,1215852,2054,1468
24,2011,St.Andrew-Windfields,3285,1740,0,180,555,120,580,10,1110755,2069,1270
25,2011,Casa Loma,880,2630,0,245,220,140,1215,0,1090696,2001,1494
26,2011,Bedford Park-Nortown,4870,1960,0,40,65,335,1320,115,1034387,1988,1124
27,2011,Forest Hill North,1470,3350,0,15,25,105,365,0,946854,1904,1132
28,2011,Kingsway South,2350,695,0,70,50,25,335,0,937464,1787,1640
29,2011,Yonge-St.Clair,530,4070,0,450,220,135,1380,0,904096,1802,1314
30,2016,Bridle Path-Sunnybrook-York Mills,2275,590,0,40,230,30,80,0,2124653,2903,2942
31,2016,Forest Hill South,1685,2025,0,65,40,70,1050,0,1664653,2383,1486
32,2016,Lawrence Park South,3420,925,0,110,35,230,1015,5,1522732,2644,1515
33,2016,Rosedale-Moore Park,2450,4990,0,485,260,345,1505,5,1522193,2498,1809
34,2016,St.Andrew-Windfields,3245,1745,0,175,540,120,595,5,1390616,2516,1565
35,2016,Casa Loma,875,2680,0,265,200,155,1225,0,1365503,2434,1841
36,2016,Bedford Park-Nortown,4820,1995,0,45,65,315,1260,115,1295007,2418,1385
37,2016,Forest Hill North,1470,3430,0,15,30,110,385,0,1185419,2316,1395
38,2016,Kingsway South,2310,790,0,70,50,30,335,0,1173663,2173,2020
39,2016,Yonge-St.Clair,520,4315,0,450,220,130,1370,0,1131888,2192,1619
